Iteration,C# (Unix),C# (Win32),C++ (Unix),C++ (Win32)
0,30.676800000000,21.517900000000,18.338000000000,20.255000000000
1,29.835000000000,20.730300000000,18.323000000000,19.186000000000
2,29.772600000000,20.664000000000,18.345000000000,19.199000000000
3,29.871600000000,20.709700000000,18.406000000000,19.186000000000
4,29.897700000000,20.788300000000,18.335000000000,19.201000000000
5,29.867300000000,20.658900000000,18.348000000000,19.169000000000
6,29.966500000000,20.604500000000,18.479000000000,19.167000000000
7,30.775200000000,20.782200000000,18.444000000000,19.167000000000
8,30.294300000000,20.535000000000,18.443000000000,19.194000000000
9,31.133800000000,21.457300000000,18.455000000000,19.092000000000
10,29.683600000000,20.735200000000,18.431000000000,19.356000000000
11,29.490100000000,20.712700000000,18.486000000000,19.058000000000
12,29.435400000000,20.750400000000,18.425000000000,19.048000000000
13,29.430500000000,20.721500000000,18.444000000000,19.206000000000
14,29.420200000000,20.734000000000,18.426000000000,19.240000000000
15,29.473300000000,20.837600000000,18.422000000000,19.270000000000
16,29.569800000000,20.754000000000,18.506000000000,19.247000000000
17,29.432200000000,20.749700000000,18.431000000000,19.255000000000
18,29.399100000000,20.732600000000,18.454000000000,19.233000000000
19,29.443000000000,20.731600000000,18.496000000000,19.382000000000
20,29.425400000000,20.778700000000,18.445000000000,19.290000000000
21,29.407400000000,20.760500000000,18.471000000000,19.233000000000
22,29.443300000000,20.771600000000,18.447000000000,19.243000000000
23,29.440000000000,20.872500000000,18.421000000000,19.235000000000
24,29.611900000000,20.716500000000,18.457000000000,19.200000000000
25,29.409700000000,20.778100000000,18.440000000000,19.241000000000
26,29.514600000000,20.785600000000,18.453000000000,19.115000000000
27,29.459500000000,20.833900000000,18.561000000000,19.130000000000
28,29.431600000000,20.748400000000,18.398000000000,19.142000000000
29,29.478300000000,20.747800000000,18.610000000000,19.104000000000
30,29.510300000000,20.783400000000,18.581000000000,19.221000000000
31,29.466100000000,20.786300000000,18.630000000000,19.129000000000
32,29.444400000000,20.794300000000,18.628000000000,19.180000000000
33,29.476900000000,20.778400000000,18.573000000000,19.124000000000
34,29.404700000000,20.708000000000,18.583000000000,19.099000000000
35,29.465500000000,20.734100000000,18.590000000000,19.120000000000
36,29.404600000000,20.755300000000,18.598000000000,19.115000000000
37,30.691600000000,20.788800000000,18.646000000000,19.159000000000
38,29.886000000000,20.758400000000,18.581000000000,19.129000000000
39,33.632000000000,20.753600000000,18.642000000000,19.160000000000
40,29.879700000000,21.589800000000,18.634000000000,19.119000000000
41,29.925100000000,20.772200000000,18.548000000000,19.139000000000
42,29.908600000000,20.959300000000,18.650000000000,19.180000000000
43,29.832500000000,20.789900000000,18.594000000000,19.174000000000
44,29.846600000000,20.854000000000,18.642000000000,19.166000000000
45,29.857500000000,20.729800000000,18.636000000000,19.184000000000
46,30.680500000000,20.778000000000,18.439000000000,19.136000000000
47,29.424900000000,20.801200000000,18.509000000000,19.080000000000
48,29.428500000000,20.778600000000,18.603000000000,19.140000000000
49,29.376200000000,21.909700000000,18.627000000000,19.235000000000
50,29.370500000000,20.821500000000,18.636000000000,19.193000000000
51,29.454100000000,20.785300000000,18.674000000000,19.168000000000
52,29.419900000000,20.798800000000,18.603000000000,19.219000000000
53,29.382300000000,20.791000000000,18.631000000000,19.140000000000
54,29.403400000000,20.764600000000,18.542000000000,19.123000000000
55,29.420200000000,20.733200000000,18.589000000000,19.181000000000
56,29.368500000000,20.743800000000,18.582000000000,19.151000000000
57,29.381700000000,20.779400000000,18.594000000000,19.124000000000
58,29.475500000000,20.799500000000,18.660000000000,19.155000000000
59,29.401800000000,20.811400000000,18.570000000000,19.137000000000
60,29.463600000000,20.779800000000,18.591000000000,19.131000000000
61,29.425700000000,20.731500000000,18.607000000000,19.146000000000
62,29.430100000000,20.759300000000,18.552000000000,19.149000000000
63,29.476100000000,20.863100000000,18.671000000000,19.165000000000
64,29.585100000000,20.748900000000,18.368000000000,19.093000000000
65,29.637600000000,20.763700000000,18.461000000000,19.125000000000
66,29.657900000000,20.857900000000,18.445000000000,19.127000000000
67,30.214000000000,20.855600000000,18.415000000000,19.244000000000
68,30.224400000000,20.817400000000,18.411000000000,19.058000000000
69,30.206000000000,20.817700000000,18.525000000000,19.086000000000
70,30.168800000000,20.752900000000,18.442000000000,19.088000000000
71,30.214200000000,20.715200000000,18.456000000000,19.072000000000
72,30.234800000000,20.707200000000,18.376000000000,19.051000000000
73,30.197000000000,20.739000000000,30.274000000000,19.191000000000
74,30.226300000000,20.731000000000,18.477000000000,19.148000000000
75,30.257600000000,20.747800000000,18.499000000000,19.132000000000
76,30.271900000000,20.724600000000,18.424000000000,19.130000000000
77,30.214100000000,20.742700000000,18.385000000000,19.120000000000
78,30.219200000000,20.743500000000,18.412000000000,19.112000000000
79,30.159500000000,20.759200000000,18.426000000000,19.139000000000
80,30.162800000000,20.848600000000,18.384000000000,19.133000000000
81,30.196800000000,20.736100000000,18.448000000000,19.122000000000
82,30.245200000000,20.730500000000,18.421000000000,19.117000000000
83,30.214600000000,20.744300000000,18.425000000000,19.104000000000
84,30.177400000000,20.766900000000,18.450000000000,19.145000000000
85,30.229900000000,20.745300000000,18.392000000000,19.118000000000
86,30.195500000000,20.758300000000,18.445000000000,19.117000000000
87,30.182000000000,20.757200000000,18.422000000000,19.110000000000
88,30.170800000000,20.717300000000,18.458000000000,19.167000000000
89,29.877200000000,20.699300000000,18.361000000000,19.101000000000
90,29.786100000000,22.052500000000,18.436000000000,19.162000000000
91,29.989900000000,20.848700000000,18.410000000000,19.236000000000
92,30.124400000000,20.845500000000,18.409000000000,19.198000000000
93,29.990500000000,20.779500000000,18.461000000000,19.180000000000
94,29.911500000000,20.746200000000,18.398000000000,19.213000000000
95,29.953000000000,20.743700000000,18.473000000000,19.268000000000
96,30.018900000000,20.794200000000,18.469000000000,19.218000000000
97,29.933200000000,20.700600000000,18.368000000000,19.203000000000
98,29.943800000000,20.775700000000,18.397000000000,19.187000000000
99,29.988300000000,20.729100000000,18.472000000000,19.235000000000
100,29.998600000000,20.693200000000,18.399000000000,19.298000000000
101,29.930300000000,20.734600000000,18.414000000000,19.266000000000
102,29.946100000000,20.713700000000,18.563000000000,19.239000000000
103,29.934100000000,20.743800000000,18.426000000000,19.168000000000
104,30.048300000000,20.735700000000,18.471000000000,19.205000000000
105,29.959500000000,20.755500000000,18.463000000000,19.214000000000
106,30.040500000000,20.737300000000,18.462000000000,19.270000000000
107,30.124400000000,20.804000000000,18.388000000000,19.191000000000
108,29.971300000000,20.726400000000,18.401000000000,19.177000000000
109,30.116300000000,20.731900000000,18.469000000000,19.218000000000
110,30.042600000000,20.739800000000,18.403000000000,19.198000000000
111,29.978000000000,20.743300000000,18.493000000000,19.159000000000
